tipo,index,center,sigma,patch_center_index,patch_rank,patch_energy,patch_spectral_ratio,graph_clustering,graph_density,graph_num_nodes,graph_num_edges,embedding_dim,embedding_num_points
uniforme,0,"(569, 243)",5,112,81,23209.96905889793,0.7081651609732608,0.31289262366795667,0.06571428571428571,225,1656,2,225
uniforme,0,"(569, 243)",50,112,81,72184.17100421526,0.22110641899227326,0.15065248608131315,0.06603174603174604,225,1664,2,225
uniforme,1,"(421, 367)",5,112,81,31209.586286128728,0.7439441512541757,0.5254508461686997,0.05599206349206349,225,1411,2,225
uniforme,1,"(421, 367)",50,112,81,74871.42169766247,0.30379912219719263,0.17682024115208417,0.06658730158730158,225,1678,2,225
uniforme,2,"(355, 151)",5,112,81,21240.9216182292,0.5288849311400503,0.5256344271101752,0.053293650793650796,225,1343,2,225
uniforme,2,"(355, 151)",50,112,81,65495.12393298512,0.18161244057390283,0.16693162392595973,0.06638888888888889,225,1673,2,225
uniforme,3,"(246, 108)",5,112,81,25251.964713987945,0.5525917033183163,0.5325061581005857,0.05281746031746032,225,1331,2,225
uniforme,3,"(246, 108)",50,112,81,69442.10363802419,0.1917813685852847,0.19459672952590334,0.06837301587301588,225,1723,2,225
uniforme,4,"(561, 137)",5,112,81,23426.733200460367,0.6987338681867384,0.4679921808431252,0.05559523809523809,225,1401,2,225
uniforme,4,"(561, 137)",50,112,81,70914.28648676994,0.22515366084322985,0.1799622426999098,0.06718253968253968,225,1693,2,225
nao_uniforme,0,"(448, 435)",5,112,81,14350.902695172561,0.4086982247767138,0.28937334360689054,0.06329365079365079,225,1595,2,225
nao_uniforme,0,"(448, 435)",50,112,81,54616.13279688925,0.1251859979238785,0.1886608976318959,0.07003968253968254,225,1765,2,225
nao_uniforme,1,"(320, 222)",5,112,81,30678.801739895174,0.2775177978770794,0.5220774707843854,0.05373015873015873,225,1354,2,225
nao_uniforme,1,"(320, 222)",50,112,81,65176.62624654895,0.13268539727150694,0.39447570498916884,0.06345238095238095,225,1599,2,225
nao_uniforme,2,"(507, 463)",5,112,81,26289.48832723152,0.4783830983087974,0.5724322745251538,0.05527777777777778,225,1393,2,225
nao_uniforme,2,"(507, 463)",50,112,81,67248.25928474317,0.18525047598800876,0.33004467908570706,0.06107142857142857,225,1539,2,225
nao_uniforme,3,"(517, 298)",5,112,81,18216.84360678629,0.6518346388938925,0.33995920051804784,0.0625,225,1575,2,225
nao_uniforme,3,"(517, 298)",50,112,81,65342.0768203265,0.18796196106503973,0.12218080907372388,0.06234126984126984,225,1571,2,225
nao_uniforme,4,"(282, 273)",5,112,81,30582.121350952126,0.40966745634481244,0.5560771949069165,0.05773809523809524,225,1455,2,225
nao_uniforme,4,"(282, 273)",50,112,81,68698.24413394023,0.17799112409320722,0.3121027701916372,0.06011904761904762,225,1515,2,225
mesclada,0,"(305, 389)",5,112,81,26299.680177442446,0.51220205574918,0.6161593713366497,0.054642857142857146,225,1377,2,225
mesclada,0,"(305, 389)",50,112,81,65762.32946454962,0.2087447455567899,0.3513745285455603,0.06365079365079365,225,1604,2,225
mesclada,1,"(527, 280)",5,112,81,18514.648361369,0.6754839930972297,0.3807087044863954,0.05658730158730159,225,1426,2,225
mesclada,1,"(527, 280)",50,112,81,66052.67756978377,0.18699093805107478,0.21455655906104407,0.07011904761904762,225,1767,2,225
mesclada,2,"(352, 468)",5,112,81,21279.7787871452,0.44802410162536693,0.47867508671739556,0.06126984126984127,225,1544,2,225
mesclada,2,"(352, 468)",50,112,81,63562.37965790543,0.15964277868660603,0.21638890403735642,0.0663095238095238,225,1671,2,225
mesclada,3,"(567, 435)",5,112,81,30399.784520795907,0.7665540686721598,0.4160302746494227,0.06119047619047619,225,1542,2,225
mesclada,3,"(567, 435)",50,112,81,75132.00614139582,0.3130170079129919,0.16136341232256277,0.06349206349206349,225,1600,2,225
mesclada,4,"(261, 281)",5,112,81,42136.82669626223,0.45781017391892553,0.5562736276069611,0.0523015873015873,225,1318,2,225
mesclada,4,"(261, 281)",50,112,81,82188.5650051597,0.23042993183125085,0.3947643641761292,0.05444444444444444,225,1372,2,225
